iter	Passed	Remaining
208	4886	18493
209	4908	18466
210	4930	18438
211	4952	18407
212	4974	18380
213	4995	18348
214	5018	18324
215	5043	18305
216	5067	18285
217	5092	18268
218	5118	18255
219	5146	18245
220	5174	18241
221	5208	18252
222	5236	18244
223	5260	18225
224	5288	18215
225	5311	18191
226	5333	18163
227	5361	18153
228	5386	18135
229	5410	18112
230	5436	18099
231	5461	18080
232	5492	18081
233	5518	18064
234	5548	18060
235	5578	18058
236	5603	18039
237	5630	18028
238	5659	18019
239	5684	18002
240	5709	17982
241	5736	17968
242	5760	17945
243	5784	17922
244	5808	17898
245	5829	17867
246	5851	17839
247	5874	17813
248	5895	17781
249	5917	17752
250	5940	17726
251	5961	17696
252	5983	17666
253	6005	17639
254	6026	17606
255	6045	17570
256	6066	17539
257	6089	17512
258	6109	17480
259	6131	17450
260	6153	17423
261	6172	17386
262	6194	17358
263	6215	17329
264	6238	17302
265	6259	17272
266	6279	17239
267	6301	17210
268	6321	17179
269	6341	17146
270	6363	17116
271	6384	17088
272	6407	17063
273	6429	17035
274	6452	17011
275	6474	16983
276	6495	16953
277	6516	16925
278	6538	16897
279	6558	16864
280	6580	16836
281	6601	16809
282	6622	16778
283	6644	16752
284	6665	16723
285	6686	16693
286	6707	16664
287	6728	16634
288	6749	16605
289	6769	16574
290	6790	16544
291	6813	16520
292	6836	16495
293	6864	16484
294	6890	16467
295	6918	16454
296	6944	16437
297	6971	16421
298	6996	16404
299	7021	16384
300	7049	16371
301	7076	16355
302	7102	16337
303	7128	16319
304	7153	16300
305	7177	16278
306	7202	16257
307	7226	16235
308	7251	16216
309	7278	16199
310	7304	16183
311	7330	16163
312	7354	16142
313	7378	16120
314	7403	16100
315	7429	16080
316	7454	16061
317	7479	16041
318	7505	16022
319	7532	16006
320	7558	15987
321	7584	15969
322	7609	15948
323	7636	15933
324	7664	15919
325	7693	15905
326	7723	15896
327	7750	15879
328	7772	15851
329	7793	15823
330	7818	15801
331	7840	15775
332	7861	15747
333	7884	15721
334	7905	15692
335	7927	15665
336	7950	15641
337	7972	15613
338	7994	15587
339	8018	15565
340	8044	15546
341	8067	15521
342	8090	15496
343	8115	15475
344	8139	15453
345	8164	15432
346	8190	15413
347	8214	15390
348	8239	15369
349	8263	15347
350	8287	15322
351	8310	15298
352	8333	15274
353	8356	15249
354	8378	15223
355	8403	15201
356	8432	15188
357	8457	15166
358	8484	15148
359	8510	15130
360	8537	15112
361	8566	15097
362	8598	15089
363	8629	15078
364	8663	15072
365	8691	15055
366	8717	15036
367	8744	15017
368	8770	14997
369	8795	14975
370	8822	14958
371	8847	14936
372	8874	14917
373	8900	14897
374	8925	14875
375	8949	14852
376	8977	14835
377	9005	14819
378	9032	14800
379	9060	14782
380	9088	14765
381	9114	14746
382	9141	14726
383	9173	14715
384	9204	14702
385	9231	14684
386	9259	14666
387	9290	14654
388	9316	14633
389	9342	14612
390	9367	14590
391	9393	14569
392	9418	14546
393	9443	14524
394	9472	14508
395	9497	14485
396	9522	14463
397	9547	14441
398	9571	14417
399	9596	14395
400	9621	14372
401	9646	14350
402	9670	14326
